Name,email
Lekáreň LIPA,lekarenlipa@lekarenlipa.sk
LEKÁREŇ V NEMOCNICI,banpharm@apothekeslovakia.sk
Lekáreň SV. LUKÁŠA,lek.svlukasa@gmail.com
Lekáreň VALIKA,lekarenvalika@gmail.com 
Výdajňa zdravotníckych pomôcok,stredisko.547@protetika.sk
Lekáreň NA NÁMESTÍ,ilavamedica@apothekeslovakia.sk
Mojalekáreň Extra,lekaren.comedika@gmail.com
Lekáreň PURUS,lek.purusil@nspzdravie.sk
Lekáreň PRIMA M s.r.o.,mozolakova@lekaren-prima.sk
Lekáreň PEGAS,lekaren.pegas@apothekeslovakia.sk
Lekáreň SCHNEIDER,nmnv@schneider-lekaren.sk
Lekáreň HARMÓNIA,harmonia.lekaren@gmail.com
Lekáreň ORCHIDEA,lekarenorchidea@gmail.com
Lekáreň ARNIKA,lekarenarnikaskacany@gmail.com
Lekáreň SV. LUKÁŠA,sv.lukas@nemocnicapb.sk
Lekáreň PHARMACIA,pharmacia@centrum.sk
Lekáreň ADONIS,lek.adonis@gmail.com
Lekáreň RUŽA,lekaren.zlataruza@gmail.com
Lekáreň SEVER,lekaren.sever.pd@gmail.com
Lekáreň PRI FONTÁNE,lek.prifontane@nspzdravie.sk
Lekáreň Dr.Max,drmax-pu1@drmax.sk
Lekáreň ARIANA,lekarenariana@gmail.com
Lekáreň PURUS,lek.puruslr@nspzdravie.sk
Lekáreň BARBORA,barbora@slovanet.sk
Lekáreň BELLIS,bellis@soslekaren.sk
Lekáreň ZDRAVIE,lek.zdravie@nspzdravie.sk
Lekáreň PANOVCE,panovce@psg.sk
Lekáreň NIKA,lekarennikahs@gmail.com
Lekáreň PROF. ThDr. HLAVÁČA ŠTEFANA,lekarendrhlavaca@gmail.com
"LEKÁREŇ ""M"", s.r.o.",lekarenmteplice@gmail.com
Lekáreň SOBLAHOVSKÁ,soblahovska@soslekaren.sk
"Všeobecná ambulancia pre dospelých, Banská Bystrica, (Praktická ambulancia, s.r.o.)",bb@praktickaambulancia.sk
LEKÁREŇ MARÍNA,lekaren.bohuslavice@gmail.com
Lekáreň INOVECKÁ,inovecka@soslekaren.sk
"Tkanivové zariadenie, Jarková, Šarišské Michaľany, (IMUNA PHARM, a.s.)",imuna@imuna.sk
Lekáreň Nádej,lekaren.jpharm@gmail.com
AMS n. o.,skrabak.sk@gmail.com
"Oftalmologická ambulancia, Bratislava-Petržalka, (Neovízia s. r. o.)",info@neovizia.sk
"Chirurgická ambulancia, Žilina, (KAMALA s.r.o.)",info@kamala.sk
"Všeobecná ambulancia pre dospelých, Šenkvice, (SOFIVA, s.r.o.)",ambulancia.mudrmoravec@gmail.com
Lekáreň Dr. Max,drmax279@drmax.sk
Lekáreň BENU,benu13@benulekaren.sk
Lekáreň Dr. Max,drmax272@drmax.sk
"Dermatovenerologická ambulancia, MUDr. Liliana Gbúriková, Spišská Nová Ves, (L-DERM s.r.o.)",info@lderm.sk
"Nefrologická ambulancia, MUDr. Viktor Jankó, Bratislava-Dúbravka, (Impax Trading spol. s r. o.)",MEDIMPAX@IMPAX.SK
"Kardiologická ambulancia, MUDr. Róbert Popovič, Bratislava-Nové Mesto, (Slovenská zdravotnícka univerzita v Bratislave)",lubica.prochazkova@szu.sk 
"Senior Klub, n. o., Hoštínska 934",info@seniorklubpuchov.sk
"Hepatologická ambulancia, prof. MUDr. Jozef HOLOMÁŇ, CSc., Bratislava-Nové Mesto, (Slovenská zdravotnícka univerzita v Bratislave)",hepatologia@szu.sk
"Všeobecná ambulancia pre dospelých, Turčianske Teplice, (Cor Center, s.r.o.)",cor.center@hotmail.com
"Všeobecná ambulancia pre dospelých, MUDr. Stanislav Gofus, Trhovište, (MUDr. Stanislav Gofus)",stano.gofus@gmail.com
"Všeobecná ambulancia pre deti a dorast, MUDr. Adela Marciová, Slanec, (GO- PED, s.r.o.)",gopedsro@gmail.com
"Všeobecná ambulancia pre dospelých, MUDr. Ladislav Furman, Krompachy, (MUDr. Ladislav Furman)","furmanla07@gmail.com, furmanla@orangemail.sk"
"Psychiatrická ambulancia, Sečovce, (Frenia s.r.o.)",freniasro@gmail.com
Lekáreň BALZAM,balzam@pharmnet.sk
"Ambulancia zubného lekárstva, Bernolákovo, (Family Dental Care - Bernolákovo s.r.o.)",office@familydentalcare.sk
