Email,Phone,Address,Website
mvysny@azet.sk,+421 54 472 52 53,Partizánska 4,
,,Záhradnícka  4/975,
,+421 36 631 92 19,Námestie Hrdinov  15,
krizko.milos@gmail.com,+421 907 307 648,Ružinovská 6,http://www.miloskrizko.eu
,+421 41 562 55 49,Kysucká cesta 3,
gyndanys@zoznam.sk,+421 35 640 44 44,Kapisztóryho ul.č.5,http://www.gyndanys.sk
,556402741,ČSA 35,
,+421 918 237 878,Panenská 7,http://www.masaznyraj.sk
,,Nemocničná  933,
milan.chupek@gmail.com,+421 41 723 35 32,Nám. Ľ. Štúra č. 1,
,,G. Czuczora  1,
,+421 51 775 47 49,Jurkovičová 18,
,+421 917 991 783,"SNP 25, 053 42 Keompachy, Chrapčiaková 1, 052 01 Spišská Nová Ves",
,+421 46 542 20 14,B. Nemcovej 406,
,+421 58 486 61 11,Predná Hora 126,http://www.olup-prednahora.sk
mhantakova@gmail.com,+421 918 243 490,Štúrova 1920,
gyn-media@szm.sk,+421 33 644 84 49,Budmerice 42,http://www.gyn-media.szm.sk
,+421 44 562 00 72,Školská 3,
,+421 2 3230 3030,Tematínska 5,http://www.medissimo.sk
,+421 911 345 555,Údernícka 1,
,+421 04 154 93 65,Rajecká cesta 13/19,
nanamesti@schneider-lekaren.sk,+421 902 954 951,Nám. slobody 45,http://www.schneider-lekaren.sk
,+421 42 434 03 66,Mládežnícka 2174,
jaroslava.gatialova@stonline.sk,+421 46 542 20 29,Hviezdoslavova 1,
viva.svit@inmail.sk,+421 52 775 54 31,Hviezdoslavova 270,
,,ZS  231,
,+421 2 4463 2064,Klenová,
,+421 41 460 46 25,Palárikova 2311,
,+421 904 945 650,Kpt.Nálepku,
raj@hzs.sk,+421 53 429 79 02,Čingov č.26,
,,Námestie L. Svobodu 1,
,,Bernolákova  2476,
bs@fashionoptic.sk,+421 903 884 909,Kammerhofská A/10,http://www.fashionoptic.sk
,+421 55 671 12 20,Budapeštianska 42 - 44,
,+421 907 888 999,Betliarska 3776/17,http://www.procare.sk
,,Bánovská cesta 8111,
recepcia-radl@falck.sk,+421 2 2086 8777,"Falck Healthcare, Radlinského 27",
,+421 33 544 36 23,Starohájska 2,
,+421 905 639 757,Maršala Koneva 1,
